series,episode,baker,result,signature_bake,technical,show_stopper,baker_name,baker_age,baker_occupation,hometown
5,2,Luis,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,George Versus The Dragon,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,2,Martha,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,Ski Village Scene,Martha Collison,17,Student,"Ascot, Berkshire"
5,2,Nancy,IN,Fennel and Rye Thins,2,Hansel and Gretel Scene,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,2,Norman,IN,Farthing Biscuits,10,Zulu Boats at Dawn,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,2,Richard,STAR BAKER,Rosemary Seeded Crackers,1,Pirates!,Richard Burr,38,Builder,"Mill Hill, London"
5,3,Chetna,IN,Onion and Pine Nut Rolls,8,Rolled and Filled Twin Loaf,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,3,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,3,Diana,IN,Rustic Picnic Rolls,7,Sharing Savoury Pinwheel,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,3,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,3,Iain,IN,Cranberry and Walnut Rye Bread Rolls,9,Moroccan Plaited with a Bessara Dip,Iain Watters,31,Construction Engineer,London/Belfast
5,3,Jordan,OUT,Rye and Spelt Bread Rolls,10,Strawberry Raspberry Cheesecake Brioche,Jordan Cox,32,IT Manager,"Sneinton, Nottingham"
5,3,Kate,IN,Orange and Cardamom Rye Bread Knots,1,"Prosciutto, Olive and Coriander Bread",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,3,Luis,STAR BAKER,Opposites Attract Rolls,2,Roscón de Reyes,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,3,Martha,IN,Date and Walnut Rye Rolls,3,Stuffed Sunflower Loaf,Martha Collison,17,Student,"Ascot, Berkshire"
5,3,Nancy,IN,Cider and Walnut Crusty Rolls,5,'Full English' Stromboli,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,3,Norman,IN,Rye Bread Rolls,4,Chicken and Roasted Vegetable Picnic Loaf,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,3,Richard,IN,Rye and Cranberry Rolls,6,Pesto Pinwheel,Richard Burr,38,Builder,"Mill Hill, London"
5,4,Chetna,IN,"Rhubarb, Strawberry and Orange Puddings",3,"Mango, Raspberry and Coconut Baked Alaska",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,4,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Diana,IN,Orange and Lemon Curd Pots,9,Raspberry Ripple Alaska Swan,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,4,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Iain,OUT,"Chocolate, Lime and Raspberry Fondants",6,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Iain Watters,31,Construction Engineer,London/Belfast
5,4,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Kate,IN,Chocolate and Salted Caramel Molten Puddings,7,"Pistachio, Raspberry and Chocolate Baked Alaska",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,4,Luis,IN,Pears in Puddings,2,Bakewell Alaska,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,4,Martha,IN,Peanut Butter Chocolate Fondants,1,Key Lime Baked Alaska,Martha Collison,17,Student,"Ascot, Berkshire"
5,4,Nancy,IN,Pistachio Puddings with Chocolate Sauce,4,Summer Pudding Alaska,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,4,Norman,IN,Mini Sticky Toffee Puddings,8,Baked Alaska with Strawberry Surprise,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,4,Richard,STAR BAKER,Black Forest Chocolate Fondants,5,Tiramisu Baked Alaska,Richard Burr,38,Builder,"Mill Hill, London"
5,5,Chetna,IN,Rice Custard Tart with Mangoes and Raspberries,2,Fusion Tiered Pies,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,5,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Diana,WD,NA,NA,NA,NA,NA,NA,NA
5,5,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,5,Kate,STAR BAKER,Rhubarb and Custard Tart,3,"Rhubarb, Prune and Apple Pies",Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,5,Luis,IN,Tropical Manchester Tart,6,Four Fruity Seasons Tower,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,5,Martha,IN,"Pistachio, Apricot and Honey Custard Tart",1,Three Little Pigs Pie,Martha Collison,17,Student,"Ascot, Berkshire"
5,5,Nancy,IN,Chocolate Crusted Passion Fruit Tart,4,Trio of Apple Pies,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,5,Norman,OUT,Tarte au Citron,5,Pieful Tower,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray"
5,5,Richard,IN,Fig and Orange Tart,7,Three Course Autumn Pie Feast,Richard Burr,38,Builder,"Mill Hill, London"
5,6,Chetna,STAR BAKER,Orange Savarin with Cinnamon Cream,2,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,6,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Diana,IN,NA,NA,NA,NA,NA,NA,NA
5,6,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Kate,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",6,Trio of Dobos Tortes,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,6,Luis,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,3,The Cage on the Rocky Hill,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,6,Martha,IN,Dark Chocolate and Almond Liqueur Savarin,4,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Martha Collison,17,Student,"Ascot, Berkshire"
5,6,Nancy,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,Chocolate and Caramel Dobos Torte,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,6,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,6,Richard,IN,Fruity Guglhupf with an Orange Glaze,5,Sugar Forest Dobos Torte,Richard Burr,38,Builder,"Mill Hill, London"
5,7,Chetna,IN,Crispy Lentil Kachori,6,Chocolate and Mango & Lemon Meringue Éclairs,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,7,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Diana,IN,NA,NA,NA,NA,NA,NA,NA
5,7,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Kate,OUT,Spinach and Paneer Spicy Samosa,4,Neapolitan & Lemon Meringue Éclairs,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex"
5,7,Luis,IN,Childhood Empanadas,5,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,7,Martha,IN,Mini Beef Wellingtons,3,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Martha Collison,17,Student,"Ascot, Berkshire"
5,7,Nancy,IN,Spicy Duck Pasties,2,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,7,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,7,Richard,STAR BAKER,Minted Lamb Pasties,1,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Richard Burr,38,Builder,"Mill Hill, London"
5,8,Chetna,IN,Date and Walnut Swirl Bread,1,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,8,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Diana,IN,NA,NA,NA,NA,NA,NA,NA
5,8,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Luis,IN,Black Forest Cherry Tree,2,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,8,Martha,OUT,Spiced Plum Iced Bread Swirl,5,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Martha Collison,17,Student,"Ascot, Berkshire"
5,8,Nancy,IN,Lincolnshire Plum Braid,3,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,8,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,8,Richard,STAR BAKER,Fruit Swedish Tea Ring,4,Rhubarb and Custard and Toffee Apple Doughnuts,Richard Burr,38,Builder,"Mill Hill, London"
5,9,Chetna,OUT,Chocolate Orange Baklava Masala Chai Baklava,4,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Chetna Makan,35,Fashion Designer,"Broadstairs, Kent"
5,9,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Diana,IN,NA,NA,NA,NA,NA,NA,NA
5,9,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Luis,IN,Indian Rose BaklavaHalwa Baklava Rolls,1,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,9,Martha,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Nancy,IN,Coffee and Chocolate BaklavaBreakfast Baklava,3,Raspberry NonnettesLime and Passion Fruit Entremets,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,9,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,9,Richard,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,2,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Richard Burr,38,Builder,"Mill Hill, London"
5,10,Chetna,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Claire,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Diana,IN,NA,NA,NA,NA,NA,NA,NA
5,10,Enwezor,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Iain,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Jordan,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Kate,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Luis,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Village in Chocolate,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire"
5,10,Martha,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Nancy,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,1,Red Windmill,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,10,Norman,NA,NA,NA,NA,NA,NA,NA,NA
5,10,Richard,Runner-up,Pear Pain au ChocolatPain Au Lait,3,Mill on the Hill,Richard Burr,38,Builder,"Mill Hill, London"
6,1,Alvin,IN,Orange Vanilla and Fig Madeira Cake,2,Black Forest Gâteau,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,1,Dorret,IN,Madeira Cake with Candied Lemons,5,Enchanted Forest Gâteau,Dorret Conway,53,Accountant,"Penwortham, Lancashire"
6,1,Flora,IN,Blood Orange Madeira Cake,6,Black Forest Gâteau,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,1,Ian,IN,Somewhere West of Madeira Cake,8,Black Forest Cherry Tree,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,1,Marie,STAR BAKER,Zingy Citrus Madeira Cake,3,A Walk in the Black Forest,Marie Campbell,66,Retired,"Auchterarder, Perthshire"
6,1,Mat,IN,Gin and Tonic Madeira Cake,7,Black Forest Gateau,Mat Riley,37,Fire fighter,London
6,1,Nadiya,IN,Orange and Green Cardamom Madeira Cake,12,Quadruple Chocolate Black Forest Gâteau,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,1,Paul,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",10,Black Forest Chocolate Creation,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,1,Sandy,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,9,Black Forest Gâteau,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,1,Stu,OUT,Marley Madeira Cake,11,Purple Forest Gâteau,Stu Henshall,35,Professional musician,"Guildford, Surrey"
6,1,Tamal,IN,Pistachio and Rose Madeira Cake,4,Black Forest Gâteau in a Chocolate Shell,Tamal Ray,29,Trainee anaesthetist,Manchester
6,1,Ugnė,IN,Lemon and Thyme Madeira Cake,1,Falling Cup Gâteau,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,2,Alvin,IN,"Jackfruit, Pistachio and Macadamia Biscotti",6,Gingerbread Box filled with Brandy Snaps,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,2,Dorret,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,1,Box of Frogs,Dorret Conway,53,Accountant,"Penwortham, Lancashire"
6,2,Flora,IN,Wedding Biscotti,2,Honey and Earl Grey Tea Box,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,2,Ian,STAR BAKER,"Orange, Rosemary and Almond Biscotti",3,Sandwich de la Confiture,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,2,Marie,OUT,Biscotti Italiano,11,Russian Box,Marie Campbell,66,Retired,"Auchterarder, Perthshire"
6,2,Mat,IN,"Pistachio, Cranberry and White Chocolate Biscotti",5,Gingerbread Fire Engine,Mat Riley,37,Fire fighter,London
6,2,Nadiya,IN,"Coconut, Fennel and Pistachio Biscotti",9,Box of Fortunes,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,2,Paul,IN,"Chocolate, Hazelnut and Fig Biscotti",10,Memory Box,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,2,Sandy,IN,Chocolate Chunk and Hazelnut Biscotti,4,Sundried Tomato Cheese Biscuit Box,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,2,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,2,Tamal,IN,"Cinnamon, Maple and Cranberry Biscotti",8,Chessboard Box,Tamal Ray,29,Trainee anaesthetist,Manchester
6,2,Ugnė,IN,White Wine Biscotti,7,Baby Climbing into the Cookie Box,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,3,Alvin,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4,Cornucopia,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,3,Dorret,OUT,Walnut and Stilton Soda Breads,6,Unmade Bread,Dorret Conway,53,Accountant,"Penwortham, Lancashire"
6,3,Flora,IN,Fig and Hazelnut Rye Breads,2,Herb Couture,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,3,Ian,STAR BAKER,Wild Garlic Pesto Soda Breads,1,Flour Power,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,3,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,3,Mat,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,Curry Inspired Brighton Pavilion,Mat Riley,37,Fire fighter,London
6,3,Nadiya,IN,Mexican Bread with Warm Tomato Salsa,9,Snake Charmer's Basket,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,3,Paul,IN,Cranberry and Orange Sweet Soda Breads,10,King of the Jungle,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,3,Sandy,IN,Soda Breads with Smoked Bacon and Onion,7,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,3,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,3,Tamal,IN,"Fig, Cheese and Walnut Breads",3,Breadcycle,Tamal Ray,29,Trainee anaesthetist,Manchester
6,3,Ugnė,IN,Chocolate Quick Breads with Salted Caramel Sauce,5,Easter Basket,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,4,Alvin,IN,Blackberry Crème Brûlées,9,Tower of Fruits Cheesecakes,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,4,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Flora,IN,Rhubarb and Ginger Crème Brûlées,3,Elderflower and Granola Cheesecakes,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,4,Ian,STAR BAKER,Pomegranate Two Ways Crème Brûlées,4,Trio of Spicy and Herby Baked Cheesecakes,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,4,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Mat,IN,Coconut Crème Brûlées,7,Chocolate Bar Cheesecakes,Mat Riley,37,Fire fighter,London
6,4,Nadiya,IN,Cinnamon Tea Crème Brûlées,8,Fizzy Pop Cheesecakes,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,4,Paul,IN,Almond Crème Brûlées,1,Berry Cheesecake Tower,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,4,Sandy,OUT,Pontefract Crème Brûlées,6,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire"
6,4,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,4,Tamal,IN,Rhubarb and Ginger Crème Brûlées,5,"Mango, Hazelnut and Rosemary Cheesecake Trio",Tamal Ray,29,Trainee anaesthetist,Manchester
6,4,Ugnė,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,2,"Lime, Coconut and Hazelnut Cheesecakes",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,5,Alvin,IN,Pineapple Upside Down Cake,8,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,5,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Flora,IN,"Pistachio, Apple and Cardamom Madeleine Cake",3,Chocolate and Pear Bûche,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,5,Ian,IN,Honey and Flowers Cake,5,Dessert Island,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Marie,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Mat,IN,Sugar Free Carrot Cake,4,Raspberry and Coconut Ice Cream Roll,Mat Riley,37,Fire fighter,London
6,5,Nadiya,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,1,Chocolate and Strawberry Lime Ice Cream Roll,Nadiya Hussain,30,Full-time mother,Leeds / Luton
6,5,Paul,IN,Carrot & Pecan Cake,2,Dessert Island Getaway,Paul Jagger,49,Prison governor,"Swansea, Wales"
6,5,Sandy,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Stu,NA,NA,NA,NA,NA,NA,NA,NA
6,5,Tamal,IN,Honey and Grapefruit Polenta Cake,7,Passion Fruit and Pineapple Ice Cream Roll,Tamal Ray,29,Trainee anaesthetist,Manchester
6,5,Ugnė,OUT,Chocolate and Hazelnut Sugar-Free Cake,6,"Chocolate, Peanut Butter and Grape Jam Roll",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,6,Alvin,OUT,Plum Frangipane Tart,6,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire"
6,6,Dorret,NA,NA,NA,NA,NA,NA,NA,NA
6,6,Flora,IN,Apricot and Rosemary Frangipane Tart,2,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,6,Ian,IN,Pear and Raspberry Frangipane Tart,3,vol-au-vents Terre et Mer,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,6,Marie,NA,NA,NA,NA,NA,NA,NA,NA
